,carat,cut,color,clarity,depth,table,x,y,z,price_predicted,price_predict,carat_log
1182,1.22,Premium,G,SI1,63.0,57.0,6.84,6.74,4.28,6520.174671080099,7206.832893090361,0.19885085874516517
1183,1.06,Good,F,VS1,58.5,57.0,6.68,6.73,3.92,5151.710788296554,5962.439066593361,0.058268908123975824
1184,1.11,Ideal,H,SI1,60.2,54.0,6.82,6.7,4.07,5565.369822768381,6351.312137373674,0.10436001532424286
1185,1.01,Premium,H,SI2,61.9,59.0,6.42,6.37,3.96,4751.031285514873,5573.565995813048,0.009950330853168092
1186,1.06,Premium,G,VVS1,61.1,58.0,6.53,6.57,4.0,5151.710788296554,5962.439066593361,0.058268908123975824
1187,1.54,Premium,E,SI2,59.0,62.0,7.59,7.56,4.47,9633.274037397745,9695.620546084361,0.43178241642553783
1188,0.56,Very Good,E,SI1,58.5,59.0,5.42,5.45,3.18,1768.4256633686064,2073.7083587902353,-0.579818495252942
1189,0.25,Good,F,VS1,63.6,57.0,4.01,4.04,2.56,457.80269838091414,-337.30468004770273,-1.3862943611198906
1190,0.9,Ideal,D,SI1,61.6,56.0,6.19,6.21,3.82,3916.2557342213877,4718.04524009636,-0.10536051565782628
1191,0.56,Fair,E,SI2,64.5,61.0,5.18,5.14,3.33,1768.4256633686064,2073.7083587902353,-0.579818495252942
1192,0.31,Ideal,F,IF,60.8,56.0,4.43,4.45,2.7,656.4845266114595,129.3430048886721,-1.171182981502945
1193,0.39,Very Good,D,VS2,60.2,59.0,4.74,4.76,2.86,964.486283295726,751.5399181371722,-0.941608539858445
1194,1.01,Premium,F,VS1,59.4,60.0,6.5,6.46,3.85,4751.031285514873,5573.565995813048,0.009950330853168092
1195,2.02,Ideal,I,SI1,62.4,56.0,8.07,8.11,5.05,15178.2608243069,13428.802025575362,0.7030975114131134
1196,1.03,Ideal,D,SI2,61.2,57.0,6.51,6.59,4.01,4909.732711315087,5729.115224125173,0.02955880224154443
1197,1.57,Premium,H,VS1,61.7,58.0,7.47,7.56,4.64,9949.80201731575,9928.944388552549,0.45107561936021673
1198,0.31,Very Good,D,IF,62.0,56.0,4.33,4.35,2.69,656.4845266114595,129.3430048886721,-1.171182981502945
1199,0.5,Premium,D,SI1,61.1,59.0,5.08,5.04,3.09,1462.5558840840129,1607.0606738538595,-0.6931471805599453
1200,0.3,Ideal,E,VS2,62.4,57.0,4.29,4.24,2.66,621.3865913129209,51.56839073260926,-1.2039728043259361
1201,1.22,Very Good,D,SI2,62.2,58.0,6.85,6.91,4.28,6520.174671080099,7206.832893090361,0.19885085874516517
1202,0.27,Very Good,F,VVS2,61.9,58.0,4.17,4.2,2.59,520.8184139517327,-181.75545173557794,-1.3093333199837622
1203,0.41,Ideal,E,VVS1,61.9,55.0,4.79,4.78,2.96,1048.7956305905404,907.0891464492965,-0.8915981192837836
1204,1.24,Premium,F,SI1,61.6,59.0,6.9,6.86,4.24,6700.27667903851,7362.382121402486,0.2151113796169455
1205,0.41,Very Good,I,VVS1,62.0,56.0,4.75,4.77,2.95,1048.7956305905404,907.0891464492965,-0.8915981192837836
1206,0.4,Ideal,G,SI2,62.5,53.0,4.75,4.79,2.98,1006.2848951620792,829.3145322932346,-0.916290731874155
1207,1.01,Ideal,F,SI1,62.0,57.0,6.38,6.42,3.97,4751.031285514873,5573.565995813048,0.009950330853168092
1208,1.5,Premium,I,VS1,62.7,59.0,7.25,7.3,4.56,9217.680181288046,9384.522089460112,0.4054651081081644
1209,0.56,Ideal,D,SI2,61.3,56.0,5.3,5.33,3.26,1768.4256633686064,2073.7083587902353,-0.579818495252942
1210,0.36,Ideal,I,VS1,62.1,57.0,4.54,4.58,2.83,843.4229357517228,518.2160756689846,-1.0216512475319814
1211,1.51,Premium,I,VS2,59.9,60.0,7.42,7.36,4.43,9320.885344580247,9462.296703616174,0.412109650826833
1212,1.3,Very Good,I,VS1,62.1,59.0,6.97,7.01,4.34,7252.383626138099,7829.029806338862,0.26236426446749106
1213,0.32,Ideal,G,VVS1,61.7,56.0,4.41,4.37,2.71,692.3559648221893,207.11761904473406,-1.1394342831883648
1214,0.26,Very Good,E,SI1,62.0,54.0,4.08,4.11,2.54,488.90109568868417,-259.5300658916408,-1.3470736479666092
1215,1.51,Very Good,E,SI2,61.8,57.0,7.34,7.32,4.53,9320.885344580247,9462.296703616174,0.412109650826833
1216,0.33,Premium,E,VVS1,60.1,58.0,4.51,4.47,2.7,728.9929808348528,284.8922332007969,-1.1086626245216111
1217,1.34,Ideal,G,VS1,62.7,57.0,7.04,7.1,4.43,7630.189487423247,8140.128262963111,0.29266961396282004
1218,1.01,Good,E,SI1,63.2,59.0,6.25,6.28,3.96,4751.031285514873,5573.565995813048,0.009950330853168092
1219,1.0,Premium,G,VS2,60.0,59.0,6.54,6.46,3.9,4672.470742601347,5495.791381656985,0.0
1220,1.42,Ideal,F,VVS1,60.8,56.0,7.25,7.32,4.43,8408.823508622836,8762.32517621161,0.35065687161316933
1221,0.9,Premium,H,VS2,61.2,61.0,6.18,6.08,3.75,3916.2557342213877,4718.04524009636,-0.10536051565782628
1222,1.01,Very Good,E,VS2,63.4,60.0,6.37,6.31,4.02,4751.031285514873,5573.565995813048,0.009950330853168092
1223,0.36,Premium,D,VS2,60.5,58.0,4.63,4.6,2.79,843.4229357517228,518.2160756689846,-1.0216512475319814
1224,0.7,Premium,E,SI1,59.1,62.0,5.8,5.74,3.41,2570.2674977629886,3162.5529569751097,-0.35667494393873245
1225,0.37,Good,G,SI2,63.3,55.0,4.58,4.61,2.91,883.0491209618087,595.990689825047,-0.9942522733438669
1226,0.91,Very Good,E,SI1,63.3,56.0,6.12,6.17,3.89,3989.445187021826,4795.819854252423,-0.09431067947124129
1227,0.8,Ideal,H,VS2,62.8,57.0,5.91,5.87,3.7,3214.808256240549,3940.2990985357355,-0.2231435513142097
1228,0.9,Good,E,SI2,63.4,60.0,6.02,6.07,3.83,3916.2557342213877,4718.04524009636,-0.10536051565782628
1229,0.31,Ideal,G,IF,61.7,56.0,4.38,4.34,2.69,656.4845266114595,129.3430048886721,-1.171182981502945
1230,1.51,Good,G,VS1,62.4,59.0,7.25,7.28,4.53,9320.885344580247,9462.296703616174,0.412109650826833
1231,1.11,Premium,I,SI2,61.5,58.0,6.65,6.61,4.08,5565.369822768381,6351.312137373674,0.10436001532424286
1232,0.41,Ideal,H,VS1,61.0,54.0,4.84,4.8,2.94,1048.7956305905404,907.0891464492965,-0.8915981192837836
1233,1.01,Very Good,J,SI2,62.8,59.0,6.34,6.37,3.99,4751.031285514873,5573.565995813048,0.009950330853168092
1234,0.7,Ideal,D,VS2,61.6,58.0,5.66,5.7,3.5,2570.2674977629886,3162.5529569751097,-0.35667494393873245
1235,1.63,Ideal,G,VS1,61.7,55.0,7.6,7.56,4.68,10595.173202276868,10395.592073488924,0.4885800148186709
1236,1.61,Premium,D,SI2,61.3,58.0,7.56,7.49,4.61,10378.233680593616,10240.0428451768,0.4762341789963717
1237,0.72,Very Good,H,SI1,63.0,58.0,5.68,5.71,3.59,2694.5083150836263,3318.1021852872345,-0.3285040669720361
1238,0.54,Premium,G,VS2,62.0,58.0,5.21,5.18,3.22,1663.8740631244978,1918.15913047811,-0.616186139423817
1239,1.22,Very Good,G,IF,62.0,59.0,6.8,6.85,4.23,6520.174671080099,7206.832893090361,0.19885085874516517
1240,0.33,Premium,G,IF,59.4,59.0,4.54,4.49,2.68,728.9929808348528,284.8922332007969,-1.1086626245216111
1241,1.34,Very Good,G,VS2,60.7,59.0,7.04,7.07,4.28,7630.189487423247,8140.128262963111,0.29266961396282004
1242,0.76,Ideal,H,VVS1,61.8,57.0,5.82,5.86,3.61,2950.0315231008713,3629.200641911485,-0.2744368457017603
1243,1.74,Ideal,E,SI2,62.3,57.0,7.8,7.7,4.83,11820.435939708803,11251.112829205611,0.5538851132264376
1244,0.32,Ideal,G,SI1,61.3,57.0,4.37,4.4,2.69,692.3559648221893,207.11761904473406,-1.1394342831883648
1245,0.5,Ideal,F,VS2,61.1,58.0,5.1,5.13,3.13,1462.5558840840129,1607.0606738538595,-0.6931471805599453
1246,1.44,Good,G,I1,63.2,54.8,7.18,7.21,4.54,8608.225781272844,8917.874404523736,0.36464311358790924
1247,0.7,Fair,I,SI1,65.2,58.0,5.6,5.56,3.64,2570.2674977629886,3162.5529569751097,-0.35667494393873245
1248,0.52,Ideal,E,VS2,61.4,54.0,5.2,5.23,3.2,1561.9068580492603,1762.6099021659852,-0.6539264674066639
1249,0.73,Very Good,G,VVS1,62.9,59.0,5.7,5.78,3.61,2757.5128435314978,3395.8767994432974,-0.31471074483970024
1250,1.23,Premium,H,VS1,61.1,58.0,6.91,6.86,4.21,6609.978328705421,7284.607507246423,0.20701416938432612
1251,1.02,Premium,H,VS2,61.9,57.0,6.5,6.4,3.99,4830.119169181164,5651.340609969111,0.01980262729617973
1252,1.0,Ideal,E,SI1,61.6,55.0,6.45,6.43,3.97,4672.470742601347,5495.791381656985,0.0
1253,0.7,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48,2570.2674977629886,3162.5529569751097,-0.35667494393873245
1254,1.5,Very Good,E,SI2,62.8,57.0,7.17,7.23,4.52,9217.680181288046,9384.522089460112,0.4054651081081644
1255,2.0,Very Good,J,VVS2,63.0,59.0,7.97,8.0,5.03,14927.281123441508,13273.252797263238,0.6931471805599453
1256,0.3,Very Good,G,VS2,63.1,56.0,4.28,4.25,2.69,621.3865913129209,51.56839073260926,-1.2039728043259361
1257,0.26,Premium,E,VVS2,58.9,61.0,4.19,4.16,2.46,488.90109568868417,-259.5300658916408,-1.3470736479666092
1258,0.58,Premium,E,SI1,62.7,58.0,5.33,5.32,3.34,1875.5313480233458,2229.257587102359,-0.5447271754416722
1259,0.4,Very Good,F,VS1,60.4,61.0,4.74,4.77,2.87,1006.2848951620792,829.3145322932346,-0.916290731874155
1260,0.26,Ideal,D,VS1,62.0,55.0,4.12,4.1,2.55,488.90109568868417,-259.5300658916408,-1.3470736479666092
1261,1.0,Fair,H,SI2,65.1,58.0,6.27,6.15,4.05,4672.470742601347,5495.791381656985,0.0
1262,0.52,Fair,F,VS1,57.2,59.0,5.35,5.39,3.07,1561.9068580492603,1762.6099021659852,-0.6539264674066639
1263,1.02,Premium,D,SI2,59.7,60.0,6.58,6.55,3.92,4830.119169181164,5651.340609969111,0.01980262729617973
1264,1.7,Good,I,SI1,59.3,58.0,7.72,7.77,4.59,11368.637995208068,10940.014372581361,0.5306282510621704
1265,1.01,Premium,H,SI2,61.6,61.0,6.39,6.31,3.91,4751.031285514873,5573.565995813048,0.009950330853168092
1266,0.55,Ideal,E,VS2,61.8,57.0,5.34,5.27,3.28,1715.8287424954092,1995.9337446341726,-0.5978370007556204
1267,1.04,Good,F,VS1,63.2,57.0,6.41,6.44,4.06,4989.870251333483,5806.889838281236,0.03922071315328133
1268,1.02,Premium,D,VS2,62.9,60.0,6.42,6.37,4.02,4830.119169181164,5651.340609969111,0.01980262729617973
1269,0.3,Ideal,F,SI1,62.3,54.0,4.3,4.27,2.67,621.3865913129209,51.56839073260926,-1.2039728043259361
1270,0.97,Ideal,F,I1,60.7,56.0,6.43,6.41,3.9,4439.970317434578,5262.467539188798,-0.030459207484708574
1271,0.31,Ideal,E,VS2,62.0,55.0,4.35,4.33,2.69,656.4845266114595,129.3430048886721,-1.171182981502945
1272,0.81,Ideal,H,VS1,61.8,58.0,5.97,6.04,3.71,3282.430178959913,4018.073712691798,-0.21072103131565253
1273,1.02,Premium,D,SI1,62.3,59.0,6.42,6.38,3.99,4830.119169181164,5651.340609969111,0.01980262729617973
1274,0.3,Premium,I,VVS1,61.1,59.0,4.31,4.33,2.64,621.3865913129209,51.56839073260926,-1.2039728043259361
1275,0.4,Very Good,E,VS1,62.8,59.0,4.63,4.67,2.92,1006.2848951620792,829.3145322932346,-0.916290731874155
1276,0.71,Very Good,F,VVS1,63.2,60.0,5.65,5.61,3.56,2632.0923079581053,3240.327571131172,-0.342490308946776
1277,0.7,Premium,G,SI1,61.5,58.0,5.69,5.76,3.52,2570.2674977629886,3162.5529569751097,-0.35667494393873245
1278,0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43,398.1051832867656,-492.85390835982844,-1.4696759700589417
1279,1.09,Ideal,G,VS1,62.3,55.0,6.59,6.63,4.12,5398.361258379835,6195.762909061548,0.08617769624105241
1280,0.3,Ideal,E,VVS2,61.0,56.0,4.33,4.39,2.66,621.3865913129209,51.56839073260926,-1.2039728043259361
1281,0.35,Premium,E,VS2,59.5,58.0,4.59,4.62,2.74,804.5336310506847,440.4414615129217,-1.0498221244986778
1282,1.13,Ideal,F,VS2,62.1,56.0,6.65,6.71,4.15,5734.42416173472,6506.861365685798,0.12221763272424911
1283,0.31,Ideal,G,VVS1,61.5,54.0,4.36,4.39,2.69,656.4845266114595,129.3430048886721,-1.171182981502945
1284,1.33,Ideal,I,VS2,61.1,54.0,7.14,7.15,4.37,7535.0133721138145,8062.3536488070495,0.28517894223366247
1285,1.25,Premium,I,SI2,60.5,58.0,7.0,6.96,4.22,6791.068424714163,7440.1567355585485,0.22314355131420976
1286,2.0,Fair,H,SI1,61.2,50.0,8.17,8.08,4.97,14927.281123441508,13273.252797263238,0.6931471805599453
1287,0.7,Ideal,G,SI1,62.5,56.0,5.67,5.69,3.55,2570.2674977629886,3162.5529569751097,-0.35667494393873245
1288,0.39,Good,F,VS2,64.3,55.0,4.56,4.64,2.96,964.486283295726,751.5399181371722,-0.941608539858445
1289,0.5,Ideal,E,VS2,60.8,57.0,5.16,5.13,3.13,1462.5558840840129,1607.0606738538595,-0.6931471805599453
1290,0.3,Premium,E,VS2,61.6,58.0,4.33,4.31,2.66,621.3865913129209,51.56839073260926,-1.2039728043259361
1291,1.37,Ideal,J,VS2,63.0,57.0,7.11,7.05,4.46,7918.600048331525,8373.452105431299,0.3148107398400336
1292,0.8,Ideal,H,VS2,62.1,54.0,5.96,5.99,3.71,3214.808256240549,3940.2990985357355,-0.2231435513142097
1293,0.28,Very Good,F,VVS1,60.1,59.0,4.24,4.25,2.55,553.5446880262255,-103.98083757951508,-1.2729656758128873
1294,0.34,Good,E,SI1,60.5,60.1,4.5,4.53,2.73,766.3879710269738,362.6668473568593,-1.0788096613719298
1295,0.3,Very Good,E,VS2,62.6,58.0,4.25,4.28,2.67,621.3865913129209,51.56839073260926,-1.2039728043259361
1296,0.85,Ideal,E,SI2,62.8,57.0,6.06,6.01,3.79,3558.560194355671,4329.172169316047,-0.16251892949777494
1297,1.0,Very Good,E,SI1,60.9,59.0,6.38,6.43,3.9,4672.470742601347,5495.791381656985,0.0
1298,0.41,Premium,G,VS2,62.6,59.0,4.73,4.76,2.97,1048.7956305905404,907.0891464492965,-0.8915981192837836
1299,1.5,Premium,G,VS2,60.3,60.0,7.34,7.26,4.4,9217.680181288046,9384.522089460112,0.4054651081081644
1300,0.72,Very Good,H,SI2,63.3,57.0,5.7,5.67,3.6,2694.5083150836263,3318.1021852872345,-0.3285040669720361
1301,0.33,Premium,G,VS1,62.0,59.0,4.42,4.36,2.72,728.9929808348528,284.8922332007969,-1.1086626245216111
1302,0.39,Ideal,E,IF,61.5,55.5,4.68,4.72,2.88,964.486283295726,751.5399181371722,-0.941608539858445
1303,0.4,Ideal,E,VS2,61.4,57.0,4.78,4.75,2.92,1006.2848951620792,829.3145322932346,-0.916290731874155
1304,1.01,Good,F,SI1,63.5,59.0,6.29,6.38,4.02,4751.031285514873,5573.565995813048,0.009950330853168092
1305,1.02,Ideal,I,SI2,60.6,56.0,6.57,6.53,3.97,4830.119169181164,5651.340609969111,0.01980262729617973
1306,1.01,Ideal,D,SI1,63.0,56.0,6.36,6.41,4.02,4751.031285514873,5573.565995813048,0.009950330853168092
1307,0.7,Ideal,F,SI1,61.8,56.0,5.68,5.75,3.53,2570.2674977629886,3162.5529569751097,-0.35667494393873245
1308,0.57,Very Good,F,VS2,59.5,57.0,5.39,5.43,3.22,1821.6610834748358,2151.482972946297,-0.5621189181535413
1309,1.5,Very Good,F,SI1,63.9,58.0,7.12,7.16,4.56,9217.680181288046,9384.522089460112,0.4054651081081644
1310,1.01,Premium,J,SI2,59.3,56.0,6.51,6.45,3.84,4751.031285514873,5573.565995813048,0.009950330853168092
1311,0.51,Ideal,D,VS2,61.2,55.0,5.17,5.13,3.15,1511.9022891473296,1684.835288009922,-0.6733445532637656
1312,1.0,Premium,E,SI2,61.7,58.0,6.39,6.34,3.93,4672.470742601347,5495.791381656985,0.0
1313,0.71,Premium,E,VVS1,62.5,57.0,5.67,5.62,3.53,2632.0923079581053,3240.327571131172,-0.342490308946776
1314,0.52,Very Good,D,VVS2,59.8,55.0,5.28,5.35,3.18,1561.9068580492603,1762.6099021659852,-0.6539264674066639
1315,0.4,Good,I,IF,62.3,62.0,4.69,4.72,2.93,1006.2848951620792,829.3145322932346,-0.916290731874155
1316,0.81,Premium,I,VVS2,62.9,59.0,5.95,5.84,3.71,3282.430178959913,4018.073712691798,-0.21072103131565253
1317,0.53,Ideal,F,VVS2,61.3,55.0,5.23,5.27,3.22,1612.5654587464296,1840.3845163220476,-0.6348782724359695
1318,2.02,Premium,I,SI2,59.4,59.0,8.25,8.21,4.89,15178.2608243069,13428.802025575362,0.7030975114131134
1319,2.11,Ideal,I,SI1,61.0,57.0,8.37,8.29,5.08,16328.440806810371,14128.773552979925,0.7466879474879751
1320,1.15,Ideal,D,VS2,58.5,57.0,6.96,6.93,4.06,5905.512460925488,6662.410593997922,0.13976194237515863
1321,0.7,Premium,I,VVS2,60.1,59.0,5.8,5.72,3.46,2570.2674977629886,3162.5529569751097,-0.35667494393873245
1322,1.07,Premium,F,SI1,61.7,56.0,6.66,6.5,4.06,5233.410568281698,6040.2136807494235,0.06765864847381486
1323,0.56,Ideal,H,SI1,61.9,54.0,5.3,5.33,3.29,1768.4256633686064,2073.7083587902353,-0.579818495252942
1324,1.74,Ideal,G,VS2,62.9,57.0,7.68,7.64,4.82,11820.435939708803,11251.112829205611,0.5538851132264376
1325,0.31,Very Good,G,VVS2,62.2,56.0,4.31,4.34,2.69,656.4845266114595,129.3430048886721,-1.171182981502945
1326,0.5,Very Good,H,VVS2,62.9,56.0,5.03,5.08,3.18,1462.5558840840129,1607.0606738538595,-0.6931471805599453
1327,1.07,Ideal,D,VVS2,60.3,56.0,6.63,6.68,4.01,5233.410568281698,6040.2136807494235,0.06765864847381486
1328,0.3,Premium,G,VS1,61.8,59.0,4.37,4.34,2.69,621.3865913129209,51.56839073260926,-1.2039728043259361
1329,0.51,Ideal,E,SI1,62.1,55.0,5.09,5.15,3.18,1511.9022891473296,1684.835288009922,-0.6733445532637656
1330,0.91,Very Good,G,SI1,63.5,58.0,6.15,6.04,3.87,3989.445187021826,4795.819854252423,-0.09431067947124129
1331,0.3,Very Good,H,SI1,61.3,58.0,4.29,4.33,2.64,621.3865913129209,51.56839073260926,-1.2039728043259361
1332,0.7,Ideal,F,VS2,61.0,55.0,5.74,5.79,3.52,2570.2674977629886,3162.5529569751097,-0.35667494393873245
1333,0.76,Ideal,D,VS1,61.7,56.0,5.84,5.87,3.61,2950.0315231008713,3629.200641911485,-0.2744368457017603
1334,1.15,Ideal,I,VS1,61.3,56.0,6.74,6.76,4.14,5905.512460925488,6662.410593997922,0.13976194237515863
1335,1.47,Premium,J,SI2,60.0,58.0,7.36,7.31,4.4,8910.851874078358,9151.198246991924,0.3852624007906449
1336,1.2,Ideal,G,SI1,61.8,59.0,6.77,6.8,4.19,6342.056693904903,7051.283664778235,0.1823215567939546
1337,1.07,Ideal,E,SI1,60.4,57.0,6.62,6.56,3.98,5233.410568281698,6040.2136807494235,0.06765864847381486
1338,1.01,Ideal,F,SI1,62.0,54.0,6.41,6.49,4.0,4751.031285514873,5573.565995813048,0.009950330853168092
1339,0.28,Premium,G,VVS2,60.2,60.0,4.24,4.26,2.56,553.5446880262255,-103.98083757951508,-1.2729656758128873
1340,2.27,Premium,H,SI2,60.7,59.0,8.5,8.45,5.15,18455.97275748281,15373.167379476925,0.8197798314933114
1341,0.4,Premium,D,VS2,61.7,59.0,4.75,4.72,2.92,1006.2848951620792,829.3145322932346,-0.916290731874155
1342,0.39,Very Good,J,VS1,63.5,58.0,4.64,4.59,2.93,964.486283295726,751.5399181371722,-0.941608539858445
1343,1.14,Premium,H,SI2,60.6,59.0,6.8,6.77,4.11,5819.714793874298,6584.63597984186,0.131028262406404
1344,0.53,Ideal,E,VVS1,61.9,55.0,5.2,5.21,3.22,1612.5654587464296,1840.3845163220476,-0.6348782724359695
1345,0.4,Ideal,I,SI2,61.0,58.0,4.74,4.77,2.9,1006.2848951620792,829.3145322932346,-0.916290731874155
1346,0.58,Premium,H,VS2,59.7,59.0,5.42,5.33,3.21,1875.5313480233458,2229.257587102359,-0.5447271754416722
1347,0.7,Premium,D,SI1,61.2,58.0,5.74,5.7,3.5,2570.2674977629886,3162.5529569751097,-0.35667494393873245
1348,0.55,Ideal,H,IF,61.5,55.0,5.25,5.29,3.25,1715.8287424954092,1995.9337446341726,-0.5978370007556204
1349,0.72,Very Good,I,VS2,63.3,57.0,5.66,5.72,3.6,2694.5083150836263,3318.1021852872345,-0.3285040669720361
1350,0.3,Ideal,F,SI1,62.3,53.9,4.28,4.31,2.68,621.3865913129209,51.56839073260926,-1.2039728043259361
1351,1.02,Ideal,H,SI1,61.9,57.0,6.46,6.4,3.98,4830.119169181164,5651.340609969111,0.01980262729617973
1352,0.51,Very Good,I,SI1,63.5,55.0,5.07,5.11,3.23,1511.9022891473296,1684.835288009922,-0.6733445532637656
1353,0.65,Premium,E,SI2,62.6,59.0,5.54,5.49,3.45,2270.1086706296837,2773.6798861947973,-0.4307829160924542
1354,1.07,Ideal,H,SI1,61.1,56.0,6.63,6.6,4.04,5233.410568281698,6040.2136807494235,0.06765864847381486
1355,0.43,Ideal,G,VVS1,61.8,55.0,4.87,4.9,3.02,1135.9309301583232,1062.6383747614223,-0.843970070294529
1356,0.32,Premium,I,IF,60.3,58.0,4.41,4.45,2.67,692.3559648221893,207.11761904473406,-1.1394342831883648
1357,0.28,Very Good,F,VS2,62.7,58.0,4.14,4.15,2.6,553.5446880262255,-103.98083757951508,-1.2729656758128873
1358,1.7,Very Good,G,VS2,62.6,57.0,7.6,7.67,4.78,11368.637995208068,10940.014372581361,0.5306282510621704
1359,0.51,Very Good,I,SI1,62.5,58.0,5.05,5.12,3.18,1511.9022891473296,1684.835288009922,-0.6733445532637656
1360,0.71,Ideal,D,VS2,60.4,57.0,5.77,5.82,3.5,2632.0923079581053,3240.327571131172,-0.342490308946776
1361,0.4,Premium,E,VS2,62.0,58.0,4.73,4.69,2.92,1006.2848951620792,829.3145322932346,-0.916290731874155
1362,0.9,Ideal,G,SI1,60.2,56.0,6.24,6.29,3.77,3916.2557342213877,4718.04524009636,-0.10536051565782628
1363,0.59,Good,F,VS1,60.5,61.0,5.43,5.5,3.31,1930.032886174904,2307.032201258422,-0.527632742082372
1364,1.19,Premium,D,SI2,58.6,61.0,6.93,6.89,4.05,6253.745040391304,6973.509050622173,0.17395330712343798
1365,0.51,Premium,G,VS2,61.3,59.0,5.17,5.11,3.15,1511.9022891473296,1684.835288009922,-0.6733445532637656
1366,0.5,Very Good,E,VS2,61.8,57.0,5.05,5.11,3.14,1462.5558840840129,1607.0606738538595,-0.6931471805599453
1367,1.01,Fair,H,SI2,64.9,56.0,6.33,6.25,4.08,4751.031285514873,5573.565995813048,0.009950330853168092
1368,0.63,Premium,E,VS1,60.4,58.0,5.59,5.64,3.39,2154.2831151026367,2618.1306578826725,-0.4620354595965587
1369,0.72,Ideal,D,SI2,62.7,55.0,5.7,5.72,3.58,2694.5083150836263,3318.1021852872345,-0.3285040669720361
1370,0.3,Ideal,F,VS2,60.7,57.0,4.34,4.29,2.62,621.3865913129209,51.56839073260926,-1.2039728043259361
1371,0.3,Ideal,E,VVS2,61.6,56.0,4.32,4.35,2.67,621.3865913129209,51.56839073260926,-1.2039728043259361
1372,0.29,Very Good,D,VVS2,59.1,61.0,4.33,4.37,2.57,587.0704301742494,-26.20622342345314,-1.2378743560016174
1373,1.0,Very Good,E,SI2,63.2,56.0,6.33,6.36,4.01,4672.470742601347,5495.791381656985,0.0
1374,1.17,Ideal,G,VS1,61.7,57.0,6.71,6.75,4.15,6078.623179740665,6817.9598223100475,0.1570037488096647
1375,1.56,Very Good,H,VVS2,63.3,58.0,7.3,7.35,4.64,9843.834377293117,9851.169774396487,0.44468582126144574
1376,0.56,Ideal,E,SI1,62.7,57.0,5.27,5.23,3.29,1768.4256633686064,2073.7083587902353,-0.579818495252942
1377,0.41,Very Good,I,SI2,63.5,57.0,4.72,4.7,2.99,1048.7956305905404,907.0891464492965,-0.8915981192837836
1378,1.53,Very Good,I,VS1,62.8,55.0,7.35,7.4,4.63,9528.683258107107,9617.8459319283,0.4252677354043441
1379,0.52,Very Good,J,SI1,62.5,59.0,5.14,5.16,3.22,1561.9068580492603,1762.6099021659852,-0.6539264674066639
1380,0.4,Ideal,J,SI1,61.4,55.0,4.75,4.8,2.93,1006.2848951620792,829.3145322932346,-0.916290731874155
1381,1.0,Premium,F,VS2,59.0,59.0,6.54,6.51,3.85,4672.470742601347,5495.791381656985,0.0
1382,0.36,Ideal,F,VS1,61.5,55.0,4.57,4.61,2.82,843.4229357517228,518.2160756689846,-1.0216512475319814
1383,0.41,Ideal,E,VS2,61.8,57.0,4.76,4.78,2.95,1048.7956305905404,907.0891464492965,-0.8915981192837836
1384,0.9,Premium,H,SI1,61.4,60.0,6.13,6.08,3.75,3916.2557342213877,4718.04524009636,-0.10536051565782628
1385,1.59,Premium,G,SI1,62.3,60.0,7.49,7.42,4.64,10163.107496863893,10084.493616864675,0.4637340162321402
1386,1.03,Premium,G,VS1,62.2,59.0,6.41,6.46,4.0,4909.732711315087,5729.115224125173,0.02955880224154443
1387,0.38,Premium,G,VS1,61.9,56.0,4.68,4.63,2.88,923.4056669432248,673.7653039811094,-0.9675840262617056
1388,0.74,Ideal,E,SI2,59.2,59.0,5.92,5.97,3.52,2821.1032664628606,3473.6514135993602,-0.3011050927839216
1389,1.5,Very Good,G,SI1,63.1,59.0,7.22,7.27,4.57,9217.680181288046,9384.522089460112,0.4054651081081644
1390,1.01,Good,E,SI1,59.3,64.0,6.47,6.49,3.84,4751.031285514873,5573.565995813048,0.009950330853168092
1391,1.71,Premium,H,VS2,62.5,58.0,7.64,7.52,4.74,11480.921480607956,11017.788986737425,0.5364933705145685
1392,0.9,Very Good,G,VS2,61.3,59.0,6.15,6.21,3.79,3916.2557342213877,4718.04524009636,-0.10536051565782628
1393,1.09,Ideal,G,SI2,61.2,57.0,6.63,6.68,4.07,5398.361258379835,6195.762909061548,0.08617769624105241
1394,0.78,Very Good,E,VS1,60.0,56.0,6.0,6.03,3.61,3081.2729888690724,3784.7498702236103,-0.2484613592984996
1395,0.32,Ideal,D,VS2,61.5,56.0,4.41,4.44,2.72,692.3559648221893,207.11761904473406,-1.1394342831883648
1396,0.3,Ideal,F,IF,62.0,56.0,4.31,4.33,2.68,621.3865913129209,51.56839073260926,-1.2039728043259361
1397,1.01,Premium,G,SI1,58.8,58.0,6.59,6.51,3.85,4751.031285514873,5573.565995813048,0.009950330853168092
1398,0.32,Ideal,D,VVS2,61.7,55.0,4.39,4.42,2.72,692.3559648221893,207.11761904473406,-1.1394342831883648
1399,1.05,Premium,H,VS2,62.7,59.0,6.49,6.43,4.05,5070.530149868527,5884.664452437299,0.04879016416943205
1400,0.9,Ideal,H,SI1,61.1,58.0,6.24,6.19,3.79,3916.2557342213877,4718.04524009636,-0.10536051565782628
