carat,cut,color,clarity,depth,table,x,y,z,cut_num,color_num,clarity_num,price_predicted
0.58,Ideal,E,VS1,62.6,56.0,5.33,5.27,3.32,5,6,5,3006.27678884835
0.3,Good,D,SI2,63.2,57.0,4.21,4.24,2.67,2,7,2,-604.7918765166196
0.5,Very Good,E,VS2,63.2,56.0,5.06,5.03,3.19,3,6,4,1597.1651914427084
0.37,Premium,H,VS2,59.5,61.0,4.67,4.64,2.77,4,3,4,-124.6145922565097
1.01,Ideal,I,SI1,60.6,57.0,6.51,6.56,3.96,5,2,3,4460.531443916123
0.4,Ideal,H,SI1,62.6,52.0,4.73,4.76,2.97,5,3,3,-257.9446659369096
1.51,Premium,H,SI2,62.4,58.0,7.36,7.31,4.58,4,3,2,8659.956187156933
1.41,Ideal,J,VS1,61.6,56.0,7.19,7.22,4.44,5,1,5,8816.364179671531
0.34,Ideal,H,VS2,62.6,54.0,4.45,4.5,2.8,5,3,4,-203.019907862943
0.3,Good,I,IF,63.3,56.0,4.21,4.26,2.68,2,2,8,786.2297777172553
1.51,Very Good,G,SI1,59.6,60.0,7.43,7.47,4.44,3,4,3,9491.238022015952
0.7,Very Good,D,SI2,63.1,58.0,5.63,5.57,3.53,3,7,2,2531.4698661566595
0.8,Ideal,E,SI1,61.5,58.0,5.96,6.0,3.68,5,6,3,3868.3819039974023
1.11,Premium,H,SI2,61.5,59.0,6.67,6.63,4.09,4,3,2,4978.751181947392
0.25,Ideal,G,VS1,62.0,54.0,4.06,4.07,2.52,5,4,5,53.015708190071564
0.7,Ideal,E,SI2,61.2,55.0,5.76,5.68,3.5,5,6,2,2564.957856707215
0.4,Premium,H,VS1,62.4,60.0,4.69,4.74,2.94,4,3,5,465.063919411647
1.53,Premium,I,VS1,61.2,59.0,7.41,7.39,4.53,4,2,5,10083.54952344258
0.51,Good,J,VS2,63.1,56.0,5.1,5.13,3.23,2,1,4,-59.099354354292245
0.31,Premium,H,IF,60.8,59.0,4.39,4.36,2.66,4,3,8,1418.924596545031
0.52,Ideal,I,SI1,61.8,56.0,5.15,5.18,3.19,5,2,3,298.86718836486307
0.71,Premium,G,SI1,60.4,59.0,5.81,5.75,3.49,4,4,3,2323.2094965225433
1.67,Ideal,H,VS1,61.8,55.9,7.57,7.6,4.69,5,3,5,11941.16347226348
0.38,Very Good,E,VVS1,60.0,59.0,4.66,4.68,2.8,3,6,7,2352.4148416030885
0.3,Ideal,F,VVS1,61.8,57.0,4.3,4.34,2.67,5,5,7,1632.3158660232784
0.56,Ideal,H,IF,61.3,56.0,5.32,5.35,3.27,5,3,8,3434.573313988687
1.52,Premium,I,SI1,58.1,62.0,7.61,7.56,4.41,4,2,3,8979.315230473083
1.11,Good,H,SI1,64.2,58.0,6.47,6.53,4.17,2,3,3,5222.5217426805975
1.03,Premium,F,SI1,58.6,62.0,6.65,6.6,3.88,4,5,3,5438.789563327045
0.71,Very Good,G,SI1,62.3,57.0,5.7,5.76,3.57,3,4,3,2199.4807090990907
1.21,Good,E,I1,63.3,63.0,6.67,6.72,4.24,2,6,1,6049.708459415997
0.57,Very Good,E,SI2,59.7,57.0,5.4,5.48,3.25,3,6,2,1321.0153664443692
0.42,Very Good,D,SI1,63.0,57.0,4.77,4.81,3.02,3,7,3,813.0490016838262
0.32,Ideal,E,VS2,62.7,55.0,4.38,4.36,2.74,5,6,4,578.6180836977846
0.36,Ideal,F,SI1,59.7,57.0,4.69,4.72,2.81,5,5,3,104.12758913979087
1.51,Premium,G,VS1,62.2,58.0,7.29,7.35,4.55,4,4,5,10566.13819936405
0.34,Premium,G,SI1,60.8,59.0,4.56,4.46,2.74,4,4,3,-583.6789639573763
0.5,Good,H,VVS1,63.3,57.0,5.02,5.06,3.19,2,3,7,2007.1275044574804
2.0,Fair,H,I1,69.8,54.0,7.6,7.56,5.29,1,3,1,12408.785214622096
1.45,Very Good,D,VVS2,62.0,56.0,7.25,7.32,4.52,3,7,6,11364.700028248059
1.0,Premium,G,IF,61.4,59.0,6.47,6.39,3.95,4,4,8,7283.560728902373
1.42,Very Good,G,VVS2,62.6,60.0,7.14,7.17,4.48,3,4,6,10011.235037985269
0.83,Very Good,F,SI1,62.1,58.0,5.98,6.06,3.74,3,5,3,3564.87906974427
0.3,Very Good,F,SI2,62.6,61.0,4.2,4.24,2.64,3,5,2,-1176.5662143841955
1.11,Very Good,E,SI2,61.7,63.0,6.65,6.54,4.07,3,6,2,5724.941512145704
0.34,Ideal,E,SI1,62.2,54.0,4.47,4.5,2.79,5,6,3,283.66300183121575
0.7,Very Good,D,SI1,59.4,63.0,5.76,5.78,3.43,3,7,3,3094.811907872907
0.3,Very Good,H,VS1,63.3,56.0,4.3,4.26,2.71,3,3,5,-353.8872621278765
0.5,Good,E,SI2,58.2,59.0,5.24,5.27,3.06,2,6,2,660.2139932351674
0.9,Fair,F,SI2,65.7,63.0,6.01,5.96,3.93,1,5,2,3122.0903217897944
0.7,Premium,D,SI2,60.6,58.0,5.75,5.7,3.47,4,7,2,2751.9374227705707
0.34,Premium,D,SI2,60.6,60.0,4.53,4.48,2.73,4,7,2,-91.12469208367929
1.0,Ideal,G,VVS2,60.8,57.0,6.45,6.47,3.93,5,4,6,6532.16014645201
0.42,Ideal,G,VVS1,62.0,56.0,4.81,4.84,2.99,5,4,7,2149.002075515591
0.34,Very Good,H,VVS2,63.0,55.0,4.44,4.48,2.81,3,3,6,503.5158684229609
1.16,Ideal,G,SI2,61.9,56.0,6.77,6.73,4.18,5,4,2,5919.4177036686715
0.56,Premium,G,VS1,61.2,60.0,5.3,5.26,3.23,4,4,5,2064.37186979667
0.34,Premium,E,SI1,61.9,59.0,4.48,4.44,2.76,4,6,3,47.32836278456307
0.31,Ideal,E,VVS1,61.7,56.0,4.33,4.36,2.68,5,6,7,2071.7465855248347
0.31,Ideal,F,VVS1,61.1,56.0,4.37,4.4,2.68,5,5,7,1760.8529154334585
0.52,Premium,G,VS2,61.7,58.0,5.16,5.14,3.18,4,4,4,1269.8978716721429
1.04,Very Good,I,VS2,61.9,58.0,6.47,6.55,4.03,3,2,4,4948.515081676935
0.5,Very Good,E,VS1,62.7,56.0,5.09,5.12,3.2,3,6,5,2111.248215429214
1.31,Premium,J,VS2,62.0,59.0,7.04,6.97,4.34,4,1,4,7127.781813806977
1.0,Very Good,E,SI1,59.6,60.0,6.43,6.48,3.85,3,6,3,5489.918589665589
0.32,Very Good,G,VS2,62.6,58.0,4.37,4.39,2.74,3,4,4,-367.56401038109925
0.7,Very Good,I,VS2,62.2,59.0,5.64,5.71,3.53,3,2,4,1954.533322973513
0.3,Ideal,F,VVS1,61.9,54.0,4.35,4.37,2.7,5,5,7,1654.3898322478012
0.76,Ideal,J,SI1,62.9,54.0,5.82,5.85,3.67,5,1,3,1928.8872387098484
0.51,Very Good,G,VVS2,63.5,55.0,5.09,5.05,3.22,3,4,6,2028.5044772342374
1.01,Very Good,F,VS2,63.5,58.0,6.35,6.32,4.02,3,5,4,5563.373786308714
0.71,Ideal,H,VS1,61.7,55.0,5.73,5.75,3.54,5,3,5,3187.0627720602647
1.03,Ideal,D,SI1,62.4,57.0,6.47,6.44,4.03,5,7,3,6177.7638742948875
0.84,Very Good,F,VVS2,60.4,62.0,6.1,6.15,3.7,3,5,6,5097.231701260629
0.76,Premium,E,SI2,60.8,57.0,5.89,5.85,3.57,4,6,2,2962.9730126757568
1.03,Premium,J,VS1,61.8,58.0,6.51,6.41,3.99,4,1,5,5100.182921083369
0.54,Ideal,E,SI1,61.3,56.0,5.22,5.25,3.21,5,6,3,1788.6871730112716
0.46,Ideal,E,VS1,60.3,56.0,5.02,5.06,3.04,5,6,5,2183.6671007451732
1.04,Ideal,H,SI2,62.0,57.0,6.53,6.43,4.02,5,3,2,4470.79426209995
0.3,Ideal,D,VS2,61.5,55.0,4.35,4.3,2.66,5,7,4,812.5486974151354
1.14,Ideal,H,VS2,61.1,57.0,6.71,6.78,4.12,5,3,4,6476.468079921702
0.32,Premium,D,VS2,58.8,59.0,4.52,4.49,2.65,4,7,4,875.5098375139278
1.0,Premium,H,SI1,61.5,58.0,6.37,6.45,3.94,4,3,3,4584.446237550008
0.32,Premium,I,VVS1,60.1,61.0,4.45,4.4,2.66,4,2,7,656.0293720438322
0.41,Good,F,I1,63.8,57.0,4.72,4.69,3.0,2,5,1,-1082.0253402019398
0.32,Ideal,I,VVS1,61.7,55.0,4.39,4.4,2.71,5,2,7,855.8862331079604
0.9,Ideal,G,VS1,61.6,55.0,6.27,6.23,3.85,5,4,5,5089.184998055263
0.7,Premium,F,SI1,59.4,60.0,5.77,5.74,3.42,4,5,3,2635.53523033253
0.3,Very Good,D,SI1,58.8,57.0,4.4,4.44,2.6,3,7,3,206.05873353963034
0.31,Premium,H,VVS1,61.9,58.0,4.34,4.32,2.68,4,3,7,901.1757621500919
0.71,Premium,D,SI1,61.3,58.0,5.73,5.75,3.52,4,7,3,3320.3158418546845
0.7,Very Good,E,SI2,62.0,60.0,5.67,5.72,3.53,3,6,2,2214.003943969968
0.32,Ideal,G,VVS1,61.7,56.0,4.37,4.41,2.71,5,4,7,1496.22510969332
0.91,Premium,F,SI2,60.8,59.0,6.28,6.25,3.81,4,5,2,3862.5452283144923
0.91,Ideal,E,SI1,61.2,58.0,6.24,6.3,3.84,5,6,3,4835.667668595264
1.5,Premium,E,VS1,62.5,58.0,7.28,7.21,4.53,4,6,5,11083.561677702484
0.9,Ideal,H,SI2,62.1,55.0,6.17,6.2,3.84,5,3,2,3323.851203848048
0.77,Very Good,D,SI1,62.1,58.0,5.84,5.89,3.64,3,7,3,3686.511615592797
0.43,Premium,F,VS2,61.0,57.0,4.87,4.84,2.96,4,5,4,968.0830735476475
0.32,Ideal,I,VVS2,62.0,54.9,4.36,4.39,2.71,5,2,6,363.67523828324056
0.6,Ideal,G,VVS2,61.4,59.0,5.37,5.41,3.31,5,4,6,3065.570694093784
1.72,Good,J,SI2,63.2,57.0,7.56,7.6,4.79,2,1,2,9846.736909195115
0.32,Premium,J,VS1,61.9,58.0,4.39,4.33,2.7,4,1,5,-681.7809429822541
1.23,Ideal,J,SI1,63.1,58.0,6.8,6.74,4.27,5,1,3,6029.881390844547
1.67,Ideal,H,SI1,61.6,55.0,7.68,7.62,4.71,5,3,3,10879.104049408572
0.4,Good,E,SI1,63.5,55.0,4.67,4.71,2.98,2,6,3,255.64487747814292
0.41,Ideal,F,VS1,60.6,57.0,4.84,4.79,2.92,5,5,5,1428.5420550795318
1.24,Good,G,VS2,61.3,57.0,6.78,6.88,4.19,2,4,4,7455.321371625514
0.41,Very Good,H,VS2,60.0,57.0,4.92,4.88,2.94,3,3,4,19.109023985789918
0.32,Very Good,I,VS2,63.0,55.0,4.34,4.39,2.75,3,2,4,-940.859171573853
0.37,Very Good,E,VS2,61.8,59.0,4.56,4.6,2.83,3,6,4,689.4233787474041
1.01,Good,F,VS2,60.6,62.0,6.52,6.49,3.94,2,5,4,5428.432246863729
1.18,Ideal,F,VVS1,61.5,55.6,6.79,6.83,4.19,5,5,7,8982.910649224259
0.32,Good,F,SI1,63.2,55.0,4.37,4.4,2.77,2,5,3,-634.1310173642337
0.75,Ideal,I,VS1,61.1,59.0,5.85,5.87,3.58,5,2,5,3134.922744774399
0.3,Very Good,G,VVS2,61.6,56.0,4.27,4.3,2.64,3,4,6,642.6474847597715
0.7,Very Good,D,VS1,61.6,58.0,5.67,5.73,3.51,3,7,5,4120.2160374244295
1.06,Very Good,I,VS1,58.5,58.3,6.66,6.79,3.94,3,2,5,5774.430883523137
1.08,Premium,E,SI2,60.8,59.0,6.57,6.62,4.01,4,6,2,5778.32767436545
0.26,Ideal,G,IF,61.7,54.0,4.15,4.18,2.57,5,4,8,1598.1152134303818
0.3,Very Good,H,VVS1,63.3,59.0,4.28,4.22,2.69,3,3,7,583.0288660196506
0.72,Ideal,F,SI2,61.9,54.0,5.83,5.73,3.57,5,5,2,2360.3294110243787
0.38,Ideal,D,VS1,62.2,57.0,4.66,4.63,2.89,5,7,5,1781.9628631641526
0.81,Premium,F,SI1,61.9,58.0,5.99,5.96,3.7,4,5,3,3470.347269225886
1.47,Very Good,H,SI2,59.1,56.0,7.46,7.51,4.42,3,3,2,8350.925607062043
1.01,Good,F,SI2,62.5,59.0,6.31,6.37,3.96,2,5,2,4547.446579603589
1.24,Fair,G,SI2,65.7,57.0,6.72,6.68,4.4,1,4,2,6009.901197469022
0.72,Very Good,G,SI2,62.5,56.0,5.68,5.71,3.56,3,4,2,1838.286060062447
0.51,Ideal,F,VS1,60.4,56.0,5.18,5.21,3.14,5,5,5,2247.788398430971
0.33,Ideal,J,VVS1,62.1,54.0,4.45,4.47,2.77,5,1,7,577.1159148440852
2.03,Ideal,G,SI1,60.0,55.8,8.17,8.3,4.95,5,4,3,14812.301639504794
0.39,Very Good,J,VVS1,57.8,59.0,4.85,4.9,2.82,3,1,7,851.6207423099904
0.3,Very Good,G,VS2,60.8,61.0,4.31,4.34,2.63,3,4,4,-455.76516042395224
0.55,Ideal,D,VS2,58.5,58.0,5.42,5.39,3.16,5,7,4,2716.978243393068
1.0,Premium,E,I1,62.3,58.0,6.38,6.33,3.96,4,6,1,4476.238257267007
2.0,Good,I,VS2,63.6,60.0,8.03,7.95,5.08,2,2,4,13676.474077129704
1.0,Good,D,SI1,63.8,53.0,6.35,6.4,4.07,2,7,3,5589.009303819481
0.32,Ideal,J,VS1,62.0,54.7,4.39,4.42,2.73,5,1,5,-481.87555463529134
0.4,Premium,G,VS1,60.7,58.0,4.81,4.78,2.91,4,4,5,869.9753106668604
1.01,Good,D,SI1,64.1,60.0,6.3,6.27,4.03,2,7,3,5535.268190376379
0.3,Very Good,H,SI1,63.0,54.0,4.27,4.3,2.7,3,3,3,-1242.6681288575974
0.7,Very Good,H,SI1,58.5,65.0,5.81,5.84,3.41,3,3,3,1778.309031501785
0.71,Very Good,E,VVS1,62.8,59.0,5.66,5.71,3.57,3,6,7,4782.842654534226
0.83,Ideal,E,SI1,61.5,55.0,6.05,6.08,3.73,5,6,3,4190.765925258151
0.31,Ideal,I,VVS1,62.1,56.0,4.38,4.35,2.71,5,2,7,694.4064613541473
0.71,Premium,E,VS2,62.1,59.0,5.68,5.72,3.54,4,6,4,3448.135351979236
0.91,Very Good,H,VS1,62.7,63.0,6.1,6.03,3.8,3,3,5,4492.590853614538
0.9,Premium,G,VS2,62.0,60.0,6.19,6.14,3.82,4,4,4,4381.429643627687
0.41,Premium,G,VS1,61.9,60.0,4.76,4.7,2.93,4,4,5,871.6148813803334
0.41,Premium,F,VVS2,60.1,59.0,4.79,4.82,2.89,4,5,6,1846.914518048602
0.7,Very Good,F,SI1,59.2,60.0,5.77,5.79,3.42,3,5,3,2534.58119843485
1.02,Ideal,I,VS2,62.7,56.0,6.37,6.43,4.01,5,2,4,5046.4613440409885
0.71,Ideal,G,SI2,61.5,55.0,5.74,5.78,3.54,5,4,2,2023.507292677336
0.51,Ideal,D,VS2,62.7,55.0,5.12,5.09,3.2,5,7,4,2281.841242902503
1.03,Ideal,G,VVS2,61.6,56.0,6.48,6.5,4.0,5,4,6,6789.69855826984
0.9,Very Good,G,VVS1,62.3,58.0,6.14,6.21,3.85,3,4,7,5833.419271026532
0.3,Ideal,D,VS2,61.1,56.0,4.36,4.32,2.65,5,7,4,811.1225376104203
1.05,Very Good,G,VS2,61.7,55.0,6.5,6.56,4.03,3,4,4,5772.587049483647
1.3,Ideal,H,VVS2,61.5,55.0,7.07,7.03,4.34,5,3,6,8901.803908255693
0.36,Ideal,G,VVS1,62.8,57.0,4.55,4.52,2.85,5,4,7,1642.2726429142463
0.51,Very Good,G,VVS1,62.9,57.0,5.08,5.12,3.21,3,4,7,2536.8780126570828
1.08,Very Good,J,SI2,63.2,59.0,6.57,6.4,4.1,3,1,2,3827.147825469754
2.2,Premium,I,VS2,62.0,57.0,8.38,8.34,5.18,4,2,4,15999.20750705051
0.3,Ideal,F,IF,62.1,57.0,4.29,4.31,2.67,5,5,8,2114.4593604601796
0.3,Very Good,E,VVS2,62.9,55.0,4.25,4.27,2.68,3,6,6,1224.5826170331795
1.46,Premium,D,SI2,62.0,55.0,7.32,7.23,4.51,4,7,2,9556.790135699697
0.54,Ideal,G,VS1,60.1,57.0,5.29,5.31,3.18,5,4,5,2148.8128642641113
0.58,Very Good,E,SI1,59.6,57.0,5.41,5.42,3.23,3,6,3,1926.7839917772667
2.01,Premium,I,SI1,61.3,60.0,8.09,8.05,4.95,4,2,3,13673.581957150123
0.43,Very Good,D,SI1,62.9,56.0,4.78,4.83,3.02,3,7,3,948.7545830257891
2.3,Ideal,H,SI2,61.6,56.0,8.48,8.52,5.24,5,3,2,16511.049794458268
0.91,Premium,I,VS1,61.9,57.0,6.24,6.19,3.85,4,2,5,4381.780231586725
0.4,Ideal,F,SI2,62.0,57.0,4.7,4.72,2.92,5,5,2,-160.92316721700217
1.0,Ideal,E,SI1,61.6,57.0,6.37,6.45,3.95,5,6,3,5692.081314436561
0.41,Premium,G,VS2,61.9,59.0,4.77,4.73,2.94,4,4,4,390.5247084264197
0.35,Ideal,H,VVS1,60.5,57.0,4.58,4.59,2.77,5,3,7,1377.5647900162344
1.1,Very Good,G,IF,60.5,55.0,6.77,6.71,4.08,3,4,8,8159.875960545474
0.3,Premium,G,SI1,62.5,61.0,4.29,4.26,2.67,4,4,3,-960.9518820329204
0.31,Ideal,G,VVS2,60.8,56.0,4.41,4.44,2.69,5,4,6,926.295299638929
0.94,Premium,F,SI2,62.4,58.0,6.23,6.17,3.87,4,5,2,4126.499049599244
0.72,Good,G,SI2,63.7,59.0,5.74,5.65,3.63,2,4,2,1476.4350808945496
0.7,Very Good,F,SI1,60.6,60.0,5.71,5.75,3.47,3,5,3,2471.407127281382
0.24,Ideal,H,VS2,61.1,56.0,3.99,4.03,2.45,5,3,4,-787.7499413018004
0.57,Very Good,E,VS2,59.5,56.0,5.45,5.47,3.25,3,6,4,2312.5513040082183
0.71,Premium,I,SI1,61.7,56.0,5.73,5.71,3.53,4,2,3,1719.6048236123838
0.79,Ideal,H,VVS2,62.0,55.9,5.88,5.95,3.67,5,3,6,4372.007490008477
0.3,Premium,G,VS1,59.6,59.0,4.38,4.34,2.6,4,4,5,248.50998309489478
0.52,Premium,E,VS2,61.6,59.0,5.16,5.14,3.17,4,6,4,1899.835980378341
1.22,Very Good,F,VVS2,60.7,62.0,6.81,6.84,4.14,3,5,6,8567.33951885811
1.0,Good,D,SI1,64.9,53.0,6.27,6.3,4.08,2,7,3,5569.779512927029
0.3,Good,H,VVS1,63.4,57.0,4.27,4.31,2.72,2,3,7,518.9843976517054
0.3,Good,E,VS2,64.2,57.0,4.24,4.13,2.69,2,6,4,-48.146169657951305
0.51,Premium,E,VS2,60.5,56.0,5.24,5.18,3.15,4,6,4,1885.9781264331327
1.22,Ideal,H,VVS2,62.7,54.0,6.77,6.83,4.27,5,3,6,8232.911721677454
0.56,Ideal,D,VS2,61.2,56.0,5.3,5.35,3.26,5,7,4,2763.062133827908
0.53,Ideal,E,VS2,61.4,56.0,5.18,5.25,3.2,5,6,4,2208.0242671256055
0.58,Ideal,E,VS2,61.8,57.0,5.32,5.36,3.3,5,6,4,2562.1235393836077
0.73,Premium,I,VS1,61.2,59.0,5.84,5.82,3.57,4,2,5,2795.4658587575304
1.13,Ideal,F,I1,62.2,55.0,6.68,6.63,4.14,5,5,1,5501.011718158343
0.7,Very Good,F,VS1,60.5,57.0,5.77,5.8,3.5,3,5,5,3498.1077523259846
0.59,Ideal,D,IF,60.7,58.0,5.45,5.49,3.32,5,7,8,4933.6833397133
0.5,Ideal,G,VVS1,62.2,55.0,5.09,5.11,3.17,5,4,7,2769.279056412916
1.07,Very Good,G,VVS2,62.8,57.0,6.46,6.56,4.09,3,4,6,6879.835265113274
0.42,Ideal,G,VVS2,62.1,57.0,4.8,4.77,2.97,5,4,6,1624.02905689593
0.27,Ideal,G,VS1,62.3,53.0,4.16,4.19,2.6,5,4,5,178.51295216248764
1.51,Premium,H,VS1,61.0,60.0,7.29,7.34,4.46,4,3,5,10295.038157761715
1.33,Premium,G,SI2,59.2,62.0,7.22,7.16,4.26,4,4,2,7315.667725160034
0.53,Ideal,G,VVS1,61.4,57.0,5.18,5.21,3.19,5,4,7,3028.8836811973806
0.43,Ideal,F,VVS2,61.9,56.0,4.84,4.82,2.99,5,5,6,2062.6518333992353
0.4,Premium,G,VS1,61.3,60.0,4.71,4.66,2.87,4,4,5,861.2796630964899
0.9,Very Good,F,SI2,62.0,59.0,6.2,6.1,3.81,3,5,2,3604.2097190745835
2.07,Fair,D,SI2,64.5,60.0,7.99,7.88,5.12,1,7,2,14904.366480905606
1.51,Premium,G,VS2,59.2,61.0,7.48,7.44,4.42,4,4,4,10068.48270339713
0.32,Ideal,F,SI1,61.6,55.0,4.41,4.45,2.73,5,5,3,-177.37391318641585
0.5,Premium,E,SI1,62.3,60.0,5.16,5.08,3.19,4,6,3,1093.9791215130144
0.9,Good,G,VS1,61.0,62.0,6.16,6.24,3.78,2,4,5,4706.129700130579
0.71,Fair,D,SI1,66.3,56.0,5.61,5.49,3.68,1,7,3,2694.9671028861685
1.21,Good,H,SI1,63.8,64.0,6.72,6.63,4.26,2,3,3,5955.446239971845
0.32,Premium,E,SI1,62.2,58.0,4.39,4.36,2.72,4,6,3,-85.39708299784024
0.7,Very Good,F,VS2,61.7,63.0,5.61,5.64,3.47,3,5,4,2891.2037092451505
0.42,Ideal,E,VS1,61.6,57.0,4.8,4.84,2.97,5,6,5,1816.7064146924495
0.92,Very Good,G,SI2,59.4,62.0,6.34,6.36,3.77,3,4,2,3516.083407198738
1.0,Premium,H,SI2,60.0,62.0,6.53,6.51,3.91,4,3,2,3956.6960294835535
1.09,Ideal,I,VS2,61.8,57.0,6.55,6.59,4.06,5,2,4,5694.700164706637
0.56,Premium,I,VVS1,60.6,59.0,5.29,5.33,3.22,4,2,7,2502.8144823457715
1.01,Fair,E,VS2,66.6,55.0,6.27,6.2,4.15,1,6,4,5533.198915901015
2.02,Premium,J,VS2,62.0,59.0,8.06,8.08,5.0,4,1,4,13953.100916627205
0.3,Very Good,E,SI2,58.8,60.0,4.39,4.42,2.59,3,6,2,-685.3735403717483
1.03,Very Good,D,SI2,61.3,61.0,6.46,6.49,3.97,3,7,2,5441.564934114552
0.62,Premium,G,VS2,61.1,59.0,5.56,5.5,3.38,4,4,4,2011.0733706679953
0.83,Good,J,SI1,63.8,58.0,5.97,5.95,3.8,2,1,3,2011.6928574494068
0.9,Premium,F,SI2,58.9,59.0,6.31,6.26,3.7,4,5,2,3888.8642141288296
2.04,Very Good,I,SI1,63.1,58.0,8.06,7.99,5.06,3,2,3,13805.37798463662
0.9,Good,D,SI2,63.8,58.0,6.13,6.09,3.9,2,7,2,4069.695092879435
1.11,Ideal,H,SI1,61.6,56.0,6.69,6.73,4.07,5,3,3,5655.476847107306
0.51,Ideal,F,VVS1,61.4,56.0,5.15,5.17,3.17,5,5,7,3187.367119996127
0.28,Good,F,VVS2,64.9,57.0,4.13,4.16,2.69,2,5,6,454.50241570406206
0.52,Very Good,E,VS2,62.5,56.0,5.15,5.18,3.23,3,6,4,1792.0184407150405
1.2,Ideal,F,VS2,62.3,56.0,6.82,6.79,4.24,5,5,4,7596.8759352903635
0.29,Ideal,F,VS2,61.6,56.0,4.28,4.32,2.65,5,5,4,89.3842038426319
1.52,Very Good,I,VS2,63.3,61.0,7.27,7.23,4.59,3,2,4,9252.082338932134
1.01,Good,D,SI1,63.1,60.0,6.32,6.39,4.01,2,7,3,5605.123096923124
1.2,Ideal,F,SI1,61.5,53.0,6.87,6.9,4.24,5,5,3,7200.123136165252
0.5,Ideal,F,VVS2,62.2,54.0,5.07,5.12,3.17,5,5,6,2640.10340511386
0.35,Ideal,E,VS2,61.6,56.0,4.54,4.52,2.79,5,6,4,822.7081582312544
0.53,Ideal,E,VS2,61.5,56.0,5.18,5.23,3.2,5,6,4,2198.933270618889
0.55,Ideal,F,VS2,60.9,57.0,5.3,5.34,3.24,5,5,4,2005.453890132047
2.07,Ideal,J,VVS2,62.7,54.0,8.17,8.12,5.11,5,1,6,15581.0082274178
2.01,Premium,E,SI2,58.7,54.0,8.27,8.2,4.83,4,6,2,14685.806804719827
0.3,Very Good,D,SI2,61.8,58.0,4.29,4.32,2.66,3,7,2,-468.91368627811335
0.74,Ideal,G,VVS2,60.9,58.0,5.85,5.88,3.57,5,4,6,4214.617932138668
1.02,Very Good,G,SI1,63.0,55.0,6.4,6.45,4.05,3,4,3,4926.768172449771
2.0,Premium,I,VS1,61.1,58.0,8.08,8.11,4.95,4,2,5,14641.846516271966
1.51,Premium,J,VVS2,62.6,59.0,7.33,7.31,4.58,4,1,6,9992.541055963748
0.3,Ideal,F,SI1,60.6,57.0,4.34,4.37,2.64,5,5,3,-297.95039591134764
0.57,Ideal,E,VS1,61.0,56.0,5.38,5.4,3.29,5,6,5,2987.910275101078
2.15,Ideal,I,SI1,62.5,57.0,8.2,8.16,5.11,5,2,3,15198.754446566096
0.97,Premium,F,SI2,61.9,58.0,6.31,6.35,3.92,4,5,2,4425.011636724519
1.2,Premium,D,SI2,62.0,58.0,6.84,6.77,4.22,4,7,2,7081.198731695475
0.26,Ideal,G,SI1,62.2,54.0,4.11,4.12,2.56,5,4,3,-898.8205767006157
1.51,Premium,G,VS2,62.5,59.0,7.34,7.28,4.57,4,4,4,9964.45976005419
0.31,Ideal,E,VS2,60.5,56.0,4.41,4.38,2.66,5,6,4,600.644530214694
0.79,Premium,H,SI2,62.8,57.0,5.91,5.88,3.7,4,3,2,2130.2395140789
0.77,Premium,G,SI2,61.2,58.0,5.99,5.96,3.64,4,4,2,2271.2967030024574
0.57,Good,F,VS1,60.0,61.0,5.35,5.38,3.22,2,5,5,2288.952009981189
0.27,Ideal,G,VVS2,62.8,56.0,4.12,4.16,2.6,5,4,6,594.0741053848478
0.52,Ideal,G,VVS2,61.0,56.0,5.24,5.18,3.18,5,4,6,2421.8983305501315
0.43,Ideal,G,IF,61.2,57.0,4.81,4.86,2.96,5,4,8,2799.545200220803
0.6,Ideal,G,VVS2,62.0,57.0,5.41,5.46,3.37,5,4,6,3028.5811787426474
0.36,Premium,D,SI2,61.5,60.0,4.54,4.6,2.81,4,7,2,44.7328655717738
0.54,Ideal,E,VVS2,62.2,54.0,5.23,5.26,3.26,5,6,6,3250.111626471068
0.9,Good,J,SI2,63.9,56.0,6.17,6.1,3.92,2,1,2,2133.379908565684
1.0,Premium,G,SI2,62.9,60.0,6.35,6.3,3.98,4,4,2,4251.462762575431
1.03,Very Good,G,SI1,62.6,56.0,6.41,6.44,4.02,3,4,3,5035.5276247932115
0.53,Very Good,F,SI1,62.5,57.0,5.19,5.24,3.26,3,5,3,1015.8668095959283
0.4,Ideal,G,VVS1,62.0,55.0,4.74,4.78,2.95,5,4,7,2022.623550785387
0.64,Premium,H,SI1,60.0,59.0,5.63,5.57,3.36,4,3,3,1436.7915444395057
0.35,Very Good,H,VS2,60.1,56.0,4.61,4.64,2.78,3,3,4,-325.26561405268103
0.9,Premium,H,SI2,59.5,60.0,6.32,6.29,3.75,4,3,2,3154.236432347725
1.09,Good,H,SI1,63.2,57.0,6.54,6.57,4.14,2,3,3,5048.628794012424
0.73,Ideal,I,SI1,61.7,55.0,5.78,5.82,3.58,5,2,3,2038.6367710795575
0.9,Very Good,F,VS2,63.1,59.0,6.13,6.05,3.84,3,5,4,4573.05238314955
1.06,Ideal,I,SI2,61.9,59.0,6.47,6.52,4.02,5,2,2,4383.681123964951
0.7,Premium,F,VS2,60.6,58.0,5.8,5.72,3.49,4,5,4,3053.480714924378
